05-11-2020 | 16:19:01 : 	 At Floor-5 	 Enter-2 	 Exit-0 	 Weight-228.01

05-11-2020 | 16:19:05 : 	 At Floor-6 	 Enter-0 	 Exit-0 	 Weight-228.01

05-11-2020 | 16:19:17 : 	 At Floor-9 	 Enter-0 	 Exit-1 	 Weight-99.49

05-11-2020 | 16:19:24 : 	 At Floor-12 	 Enter-0 	 Exit-1 	 Weight-0.0

05-11-2020 | 16:19:30 : 	 At Floor-14 	 Enter-0 	 Exit-0 	 Weight-0.0

05-11-2020 | 16:21:12 : 	 At Floor-0 	 Enter-3 	 Exit-0 	 Weight-312.18

05-11-2020 | 16:21:21 : 	 At Floor-3 	 Enter-0 	 Exit-3 	 Weight-0.0

05-11-2020 | 16:21:27 : 	 At Floor-5 	 Enter-0 	 Exit-0 	 Weight-0.0

05-11-2020 | 16:21:38 : 	 At Floor-10 	 Enter-0 	 Exit-0 	 Weight-0.0

05-11-2020 | 17:37:48 : 	 At Floor-1 	 Enter-5 	 Exit-0 	 Weight-494.33

05-11-2020 | 17:38:59 : 	 At Floor-2 	 Enter-3 	 Exit-0 	 Weight-307.82

05-11-2020 | 17:39:13 : 	 At Floor-8 	 Enter-1 	 Exit-1 	 Weight-305.0

05-11-2020 | 17:39:21 : 	 At Floor-11 	 Enter-0 	 Exit-1 	 Weight-193.84

05-11-2020 | 17:39:27 : 	 At Floor-12 	 Enter-0 	 Exit-1 	 Weight-98.68

05-11-2020 | 17:39:38 : 	 At Floor-4 	 Enter-0 	 Exit-1 	 Weight-0.0

12-11-2020 | 16:43:24 : 	 At Floor-4 	 Enter-0 	 Exit-0 	 Weight-0.0

